route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,cars_allowed
00001,Sun,00001,,PANVEL,0,,00001,0,0,0
00111,Sat,00111,,SANKRAIL GOODS TERMINAL,0,,00111,0,0,0
00112,Tue,00112,,AJNI,0,,00112,0,0,0
00121,Fri,00121,,KANNIYAKUMARI,0,,00121,0,0,0
00137,Sun,00137,,ROURKELA,0,,00137,0,0,0
00138,Sun,00138,,RANI KAMALAPATI,0,,00138,0,0,0
00161,Wed,00161,,KHADKI,0,,00161,0,0,0
00162,Fri,00162,,KHADKI,0,,00162,0,0,0
00163,Sun,00163,,KHADKI,0,,00163,0,0,0
00164,Tue,00164,,KHADKI,0,,00164,0,0,0
00165,Thu,00165,,KHADKI,0,,00165,0,0,0
00166,Thu,00166,,HADAPSAR,0,,00166,0,0,0
00167,Fri,00167,,PARASNATH,0,,00167,0,0,0
00168,Fri,00168,,BRAHMAPUR,0,,00168,0,0,0
00169,Fri,00169,,HADAPSAR,0,,00169,0,0,0
00171,Sun,00171,,ROURKELA,0,,00171,0,0,0
00190,Sat,00190,,C SHIVAJI MAH T,0,,00190,0,0,0
00240,Sun,00240,,C SHIVAJI MAH T,0,,00240,0,0,0
00290,Wed,00290,,DELHI SAFDARJUNG,0,,00290,0,0,0
00412,Sat,00412,,DELHI SAFDARJUNG,0,,00412,0,0,0
00441,Mon-Sun,00441,,PATELNAGAR,0,,00441,0,0,0
00442,Thu-Fri,00442,,CHITPUR,0,,00442,0,0,0
00461,Mon-Tue-Wed-Thu-Fri-Sat-Sun,00461,,BADGAM,0,,00461,0,0,0
00462,Mon-Tue-Wed-Thu-Fri-Sat-Sun,00462,,ADARSH NAGAR DELHI,0,,00462,0,0,0
00477,Sun,00477,,BIKANER JN,0,,00477,0,0,0
00566,Wed,00566,,DIMAPUR,0,,00566,0,0,0
00629,Wed-Sun,00629,,TUGLAKABAD,0,,00629,0,0,0
00630,Thu-Sun,00630,,YESVANTPUR JN.,0,,00630,0,0,0
00639,Sun,00639,,TUGLAKABAD,0,,00639,0,0,0
00640,Tue,00640,,YESVANTPUR JN.,0,,00640,0,0,0
00653,Wed-Sun,00653,,PATELNAGAR,0,,00653,0,0,0
00654,Wed-Sat,00654,,ROYAPURAM,0,,00654,0,0,0
00659,Tue,00659,,AZARA,0,,00659,0,0,0
00660,Sat,00660,,KORUKKUPET JN,0,,00660,0,0,0
00761,Mon-Wed-Fri-Sat,00761,,HAZRAT NIZAMUDDIN JN,0,,00761,0,0,0
00762,Tue-Wed-Fri-Sun,00762,,RENIGUNTA JN,0,,00762,0,0,0
00816,Fri,00816,,AYODHYA CANTT,0,,00816,0,0,0
00832,Sun,00832,,SANAHWAL,0,,00832,0,0,0
00833,Fri,00833,,AGARTALA,0,,00833,0,0,0
